CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
595,France,Male,31,4,0.0,2,1,0,189995.86
659,France,Female,49,1,0.0,1,1,0,116249.72
574,Spain,Male,36,4,77967.5,1,1,0,167066.95
574,France,Male,26,8,97460.1,1,1,1,43093.67
599,France,Male,44,10,118577.24,1,1,1,31448.52
633,France,Female,36,6,125130.28,1,0,0,125961.48
526,Spain,Male,66,7,132044.6,2,1,1,158365.89
818,France,Female,49,2,0.0,1,0,1,192298.84
755,France,Female,78,5,121206.96,1,1,1,76016.49
686,Germany,Female,38,2,93569.86,3,0,0,10137.34
703,France,Female,41,6,109941.51,1,1,0,116267.28
601,Spain,Male,28,6,0.0,2,1,0,14665.28
749,Spain,Male,38,9,129378.32,1,1,1,13549.34
652,Spain,Male,31,1,132862.59,1,0,0,158054.49
767,France,Male,48,9,0.0,2,0,1,175458.21
567,Spain,Male,43,2,115643.58,2,0,0,174606.35
850,France,Female,34,6,101266.51,1,1,0,33501.98
744,Germany,Female,41,2,84113.41,1,1,0,197548.63
520,Germany,Female,31,3,108914.17,1,1,1,183572.39
773,Spain,Male,37,2,103195.2,2,1,0,178268.36
651,Spain,Female,46,4,89743.05,1,1,0,156425.57
569,France,Male,28,7,0.0,2,1,0,73977.23
688,France,Female,32,6,123157.95,1,1,0,172531.23
664,Germany,Male,25,6,172812.72,2,1,1,108008.65
649,Spain,Female,49,2,0.0,1,1,0,84863.85
700,France,Female,26,2,0.0,2,0,0,50051.42
516,Germany,Male,50,7,139675.07,2,1,0,45591.23
688,Germany,Female,34,9,91025.58,2,0,1,163783.0
787,France,Male,25,5,0.0,2,1,0,47307.9
581,Spain,Male,46,2,79385.21,2,0,0,188492.82
597,Germany,Female,40,9,106756.01,2,1,0,151167.94
715,France,Female,33,3,85227.84,1,1,1,68087.15
724,France,Male,31,5,0.0,1,1,0,134889.95
696,Germany,Female,27,2,96129.32,2,1,1,5983.7
659,France,Male,67,4,145981.87,1,1,1,131043.2
750,Germany,Female,37,1,133199.71,2,1,1,27366.77
610,France,Male,36,4,129440.3,2,1,0,102638.35
464,Germany,Male,37,4,155994.15,1,0,0,143665.44
685,Spain,Male,35,4,137948.51,1,1,0,113639.64
604,France,Female,71,2,0.0,2,1,1,49506.82
432,France,Male,42,9,152603.45,1,1,0,110265.24
687,Spain,Female,21,8,0.0,2,1,1,154767.34
690,Spain,Female,36,10,91760.11,1,1,1,135784.94
612,France,Female,43,4,139496.35,2,1,1,77128.23
596,Germany,Male,32,3,96709.07,2,0,0,41788.37
554,Spain,Female,41,4,112152.89,1,0,1,36242.19
748,Germany,Female,31,1,99557.94,1,1,0,199255.32
613,France,Male,37,9,108286.5,1,1,1,114153.44
544,Germany,Male,44,2,108895.93,1,0,0,69228.2
602,France,Male,34,5,0.0,2,1,1,77414.45
720,France,Female,43,6,137824.03,2,1,0,172557.77
699,Spain,Female,50,0,158633.61,1,1,0,193785.87
699,Spain,Male,40,2,0.0,1,1,0,78387.32
714,Germany,Female,49,5,140510.89,1,1,0,141914.94
749,Germany,Male,47,9,110022.74,1,0,1,135655.29
704,Spain,Female,36,2,175509.8,2,1,0,152039.67
622,France,Female,30,4,107879.04,1,0,1,196894.62
710,France,Male,40,5,0.0,2,0,0,162878.96
645,France,Female,38,5,101430.3,2,0,1,4400.32
732,France,Male,79,10,61811.23,1,1,1,104222.8
592,Germany,Female,34,6,102143.93,2,1,1,102628.98
586,France,Female,60,3,47020.65,2,0,1,63241.21
604,Spain,Female,41,10,0.0,2,1,1,166224.39
632,France,Male,71,3,83116.68,1,1,1,27597.76
795,Germany,Female,56,9,94348.94,1,1,0,29239.29
767,Spain,Male,31,6,0.0,2,1,1,195668.0
653,Germany,Male,58,1,132602.88,1,1,0,5097.67
754,Spain,Male,35,4,0.0,2,1,1,9658.41
580,France,Male,55,6,104305.74,1,0,1,175750.21
710,France,Female,37,5,0.0,2,1,0,115403.31
613,Germany,Female,51,7,147262.11,1,1,1,53630.9
632,France,Female,36,7,0.0,2,1,1,52526.65
531,France,Female,37,1,0.0,1,1,0,4606.97
850,Germany,Female,32,0,116968.91,1,0,0,175094.62
727,Spain,Female,49,7,96296.78,1,1,0,190457.87
698,France,Male,41,3,90605.29,1,1,1,14357.0
569,France,Male,43,7,0.0,2,1,0,52534.81
453,France,Female,37,4,131834.76,2,1,0,8949.2
749,France,Male,41,5,57568.94,1,1,1,61128.29
622,Spain,Male,36,9,0.0,2,1,1,104852.6
741,France,Female,44,7,0.0,2,1,1,190534.76
572,Spain,Male,35,4,152390.26,1,1,0,128123.66
526,Germany,Male,34,3,122726.56,1,1,1,46772.36
732,France,Male,46,0,0.0,2,1,1,184350.78
743,Spain,Male,43,2,161807.18,2,0,1,93228.86
676,Germany,Male,48,3,80697.44,1,0,0,101397.86
611,France,Female,46,5,0.0,1,1,0,77677.14
708,France,Male,34,3,0.0,1,0,1,121457.88
678,Spain,Male,29,6,0.0,2,1,0,64443.75
665,France,Female,40,6,0.0,1,1,1,161848.03
652,Spain,Male,28,8,156823.7,2,1,0,198251.52
774,France,Female,52,2,56580.93,1,1,0,113266.28
607,Spain,Male,34,9,132439.99,1,1,0,177747.72
767,Spain,Female,24,5,0.0,2,1,1,67445.85
603,Germany,Male,35,1,123407.69,1,1,0,152541.89
729,France,Female,34,9,132121.71,1,0,1,105409.31
603,Germany,Male,46,4,98899.76,2,1,1,86190.34
653,Spain,Female,36,3,0.0,2,0,0,110525.6
577,France,Female,39,10,0.0,2,1,0,10553.31
763,Spain,Male,67,9,148564.66,1,0,1,87236.4
492,France,Female,48,6,127253.98,1,1,1,92144.09
538,Germany,Female,28,6,164365.44,1,0,1,5698.97
376,France,Female,46,6,0.0,1,1,0,157333.69
637,France,Male,27,9,128940.24,1,1,0,46786.92
725,France,Female,36,1,118851.05,1,1,1,102747.02
687,Spain,Female,44,7,0.0,3,1,0,155853.52
850,France,Male,47,6,0.0,1,1,0,187391.02
823,France,Male,38,1,0.0,2,1,0,156603.7
753,Germany,Male,30,1,110824.52,1,1,1,57896.27
689,Germany,Male,67,9,157094.78,1,1,1,99490.01
558,France,Male,31,7,0.0,1,1,0,198269.08
555,Spain,Male,32,4,0.0,2,1,1,54405.79
476,France,Female,40,4,0.0,2,0,0,182547.04
697,France,Female,38,1,182065.85,1,1,0,49503.5
650,France,Male,32,2,84906.45,1,1,0,163216.48
669,France,Male,37,4,0.0,1,1,0,132540.33
596,Spain,Male,60,7,121907.97,1,0,1,30314.04
724,Spain,Male,45,5,83888.54,1,0,1,34121.81
684,Germany,Male,29,8,127269.75,1,0,1,79495.01
659,France,Female,32,2,155584.21,1,0,1,153662.88
570,France,Female,58,8,0.0,1,0,1,116503.92
794,Germany,Female,55,6,115796.7,1,1,0,160526.36
760,Germany,Male,34,6,121303.77,2,1,1,59325.21
607,Germany,Male,47,4,148826.32,1,1,1,79450.61
415,Spain,Male,53,5,167259.44,1,1,1,22357.25
575,France,Male,40,5,0.0,2,1,1,122488.59
788,France,Female,43,10,0.0,2,1,1,116111.51
706,Spain,Female,53,3,0.0,3,0,0,88479.02
683,France,Male,39,4,0.0,2,1,0,171716.81
741,France,Female,21,9,0.0,2,0,1,139259.54
470,France,Male,30,3,101140.76,1,1,1,50906.65
487,Spain,Female,36,1,140137.15,1,1,0,194073.33
497,Germany,Male,41,5,80542.81,1,0,0,88729.22
537,Germany,Male,66,8,103291.25,2,1,1,130664.79
638,France,Female,34,7,0.0,2,1,1,198969.78
732,Germany,Male,38,5,178787.54,1,1,1,195760.53
710,Germany,Male,43,2,140080.32,3,1,1,157908.19
454,Spain,Male,40,2,123177.01,1,1,0,148309.98
519,France,Male,39,2,112957.26,2,1,0,97593.16
422,France,Female,33,2,0.0,2,1,0,102655.31
656,France,Male,35,6,0.0,2,1,0,1485.27
457,Spain,Female,38,6,0.0,2,1,0,173219.09
659,France,Male,43,1,106086.42,2,1,0,26900.63
637,Germany,Female,36,10,145750.45,2,1,1,96660.76
565,Germany,Male,52,5,97720.35,2,1,0,175070.94
589,France,Male,38,2,0.0,1,1,0,79915.28
587,Spain,Male,51,3,83739.32,1,0,1,148798.45
541,Germany,Male,51,7,90373.28,2,1,0,179861.79
660,France,Male,40,5,131754.11,2,1,1,38761.61
655,Spain,Male,38,9,0.0,1,0,1,90490.33
733,France,Female,44,6,168165.84,1,0,1,197193.49
447,France,Female,44,5,89188.83,1,1,1,75408.24
526,Spain,Female,36,5,91132.18,1,0,0,58111.71
670,France,Female,42,1,115961.58,2,0,1,29483.87
640,France,Male,68,9,0.0,2,1,1,199493.38
700,Spain,Female,46,5,56580.95,2,0,1,45424.13
576,France,Male,24,3,0.0,1,0,1,78498.04
738,France,Male,33,4,92676.3,1,1,0,105817.63
648,France,Male,23,9,168372.52,1,1,0,134676.72
614,Germany,Female,30,3,131344.52,2,1,0,54776.64
690,Spain,Male,36,10,0.0,2,1,0,55902.93
682,France,Male,40,4,0.0,1,0,1,105352.55
482,France,Female,35,2,133111.73,1,0,1,79957.95
808,France,Male,32,1,0.0,2,1,1,46200.71
629,Germany,Male,35,7,156847.29,2,1,0,31824.29
606,France,Male,37,6,82373.94,1,0,0,172526.9
685,France,Female,33,1,0.0,3,0,1,70221.13
584,France,Male,47,5,0.0,2,1,0,89286.29
695,France,Male,45,9,43134.65,1,0,1,77330.35
561,Germany,Female,49,1,102025.32,1,1,0,133051.64
480,France,Female,28,6,0.0,2,0,0,48131.92
628,France,Male,32,9,149136.31,2,1,1,16402.11
